ml_cape,ml_cin,ml_lcl,ml_lfc,mu_cape,mu_cin,mu_lcl,mu_lfc,sb_cape,sb_cin,best_cape,best_cin,cape0_3km,dn_cape,shr6,shr3,shr1,srh3,srh1,STP T03,STP T03 >0,lr0_3km,tmp_sfc,dwp_sfc,rh_sfc,pw,,magnitude
469.44,-276.43,1585.75,,1372.75,-121.94,1136.96,2703.96,1372.75,-121.94,778.75,-185.45,0,929.59,64.112,52.4918,22.9185,553.95,320.8,0.666599592,0.666599592,6.59,22.66,16.51,68.58,1.12,,1
503.44,-343.28,1443.62,,891.31,-200.56,1113.96,2868.11,695.44,-266.78,705.75,-222.2,0,1198.74,76.6557,60.7735,32.3776,729.76,457.57,1.637457268,1.637457268,6.17,21.32,15.3,70.06,1.03,,1
391.69,-100.22,790.38,,481.19,-34.63,765.46,2513.12,349.44,-93.82,459.88,-34.59,5.8,539.29,71.0861,55.6989,46.7759,688.65,532.76,2.990587343,2.990587343,5.8,18.58,15.77,82.6,1.24,,1
188.62,-6.59,1472.75,,828,0.01,1468.15,1872.01,828,0,184.25,-6.91,69.67,778.29,33.3532,14.8001,7.53595,87.99,34.8,0.019238439,0.019238439,8.15,29.4,17.26,45.54,1.24,,1
0,,559.75,,35.38,-14.81,1467.28,3045.63,10.75,-61.56,35.38,-14.78,0,287.91,46.4016,31.3081,19.9787,216.71,176.69,0,0,5.46,9.58,9.73,95.92,0.68,,0
36.75,-22.79,734.25,,383,0,569.24,3013.16,383,0,29,-29.93,1.1,327.61,48.5209,32.0297,22.8595,259.28,218.06,0.082027388,0.082027388,6.51,13.78,10.66,84.48,0.72,,0
30.12,-61.48,639.38,,305.75,-0.11,590.99,3212.16,305.75,-0.12,24.12,-68.5,0,422.93,55.328,36.8264,24.6846,302.5,249.18,0.094166997,0.094166997,6.33,13.98,11.18,87.48,0.69,,0
0,,513.38,,12,-49.82,1736.61,3558.16,9.38,-108.25,12,-49.81,0,331.99,50.0164,35.2346,27.3179,339.03,293.39,0,0,5.57,11.03,9.97,93.51,0.69,,0
5,-108.29,555.88,,51.12,-8.57,1545.07,2874.74,6.5,-96.56,51.12,-8.57,3.91,300.2,52.2185,38.3497,31.9191,307.17,261.46,0.016430534,0.016430534,5.74,11.9,9.95,92.33,0.76,,0
0.88,-168.23,639.5,,53.62,-67.19,988.57,3244.49,0,-9999,53.62,-67.2,0,401.64,58.7902,43.1786,34.3469,382.21,328.79,0.003857034,0.003857034,5.66,12.19,9.85,85.02,0.72,,0
299,-71.27,807.25,,1059.12,0,1604.09,2797.96,1059.12,0,564.94,-6.71,0,907.08,72.5244,38.7853,24.2624,176.06,155.37,0.669762262,0.669762262,6.19,21.69,16.45,75.01,1.02,,0
1253.25,-50.61,762.88,,1490,-10.04,733.33,1335.37,1435.38,-22.68,1233.75,-16.91,120.18,827.86,55.0673,37.19,19.7151,194.39,141.23,2.009643548,2.009643548,6.89,18.04,15.59,88.86,0.95,,0
1231.75,-44.57,910.75,,1463.12,-22.65,803.66,1389,1463.12,-22.65,1263.12,-22.75,151.34,912.34,81.8013,50.5665,28.3234,179.43,123.16,2.252831837,2.252831837,7.21,20.99,16.61,81.28,1,,0
518.38,-66.94,619.75,,609.75,-4.77,1390.91,1705.88,606.5,-36.99,609.69,-4.78,49.96,785.59,72.9536,39.6653,24.0892,249.68,233.95,2.035281664,2.035281664,5.71,17.89,16.71,91.4,1.05,,1
828.38,-38.54,610.38,,1096.62,-16.01,1220.1,1501.83,1096.62,-16,979.94,-6.86,80.33,883.9,70.5494,43.1841,22.3011,238.16,207.61,2.810062657,2.810062657,6.58,19.91,17.01,86.55,1.04,,2
558.31,-34.23,540,,970.75,-2.79,1307.22,1421.08,970.75,-2.79,815.81,-0.83,49.4,793.47,67.3425,37.855,22.2442,197.91,191.94,1.756029217,1.756029217,6.2,18.73,16.99,91.1,1.03,,0
1044.19,-73.42,723.88,,1217.25,-42.28,1033.61,1886.24,784.5,-94.39,1217.25,-42.3,50.64,915.34,62.7971,43.6944,23.4776,299.66,285.75,3.985158709,3.985158709,6.34,21.76,16.22,73.39,1,,0
945.62,-38.67,583.38,,1228.5,-13.17,884.72,1704.21,1228.5,-13.17,1101.19,-17.99,99.68,861.57,67.8176,41.2831,23.9975,202.79,184.51,2.793708524,2.793708524,6.91,19.77,16.62,87.3,1.06,,0
930.06,-77.99,607.75,,1333.75,-21.01,1318.6,1890.71,512.88,-126.43,1333.75,-21.02,31.62,884.63,62.8112,42.6281,30.948,379.61,388.6,5.267649011,5.267649011,5.85,20.66,16.48,78.88,1.07,,0
621.31,-78.5,620.38,,1029.5,-1.48,857.64,1115.34,78.88,-205.03,1029.5,-1.48,27.37,735.21,59.751,40.8576,41.8594,374.91,380.59,3.248771196,3.248771196,5.79,18.77,14.73,77.22,1.23,,1
